Source Node,Destination Node
coriander,lettuce
coriander,tomatoes
dill,brassicas
dill,broccoli
dill,cabbage
dill,corn
dill,eggplant
dill,fennel
dill,lettuce
dill,onions
dill,cucumbers
fennel,dill
flax,carrots
flax,potatoes
garlic,vetch
garlic,brassicas
garlic,beets
garlic,roses
garlic,tomatoes
garlic,cucumbers
garlic,lettuce
garlic,celery
garlic,peas
garlic,potatoes
hyssop,brassicas
hyssop,cabbage
hyssop,grapes
lavender,chamomile
lavender,lettuce
lavender,brassicas
lavender,onions
lavender,tomatoes
lavender,oregano
lavender,thyme
lavender,marjoram
lavender,sage
lavender,rosemary
lavender,basil
lavender,lemon balm
lavender,squash
lemon grass,eggplant
lovage,beans
oregano,grapes
oregano,tomatoes
oregano,peppers
oregano,pumpkins
parsley,asparagus
parsley,corn
parsley,maize
parsley,tomatoes
peppermint,alliums
peppermint,brassicas
peppermint,cabbage
peppermint,peas
peppermint,tomatoes
rosemary,cabbage
rosemary,beans
rosemary,brassicas
rosemary,carrots
rosemary,thyme
sage,brassicas
sage,rosemary
sage,cabbage
sage,beans
sage,brussels sprouts
sage,carrots
sage,strawberries
sage,tomatoes
sage,marjoram
southernwood,brassicas
southernwood,fruit trees
spearmint,alliums
spearmint,brassicas
spearmint,cabbage
spearmint,peas
spearmint,tomatoes
stinging nettle,chamomile
stinging nettle,mints
stinging nettle,broccoli
stinging nettle,tomatoes
stinging nettle,valerian
stinging nettle,angelica
stinging nettle,marjoram
stinging nettle,sage
stinging nettle,peppermint
summer savory,beans
summer savory,melons
summer savory,onions
tarragon,alliums
tarragon,asparagus
tarragon,beans
tarragon,"beans, bush"
tarragon,"beans, pole"
tarragon,fava
tarragon,beets
tarragon,brassicas
tarragon,broccoli
tarragon,brussels sprouts
tarragon,cabbage
tarragon,carrots
tarragon,cauliflower
tarragon,celery
tarragon,chard
tarragon,corn
tarragon,maize
tarragon,cucumbers
tarragon,cucurbits
tarragon,eggplant
tarragon,kohlrabi
tarragon,leeks
tarragon,lettuce
tarragon,mustard
tarragon,nightshades
tarragon,okra
tarragon,onions
tarragon,parsnip
tarragon,peas
tarragon,peppers
tarragon,potatoes
tarragon,pumpkins
tarragon,radishes
tarragon,soybeans
tarragon,spinach
tarragon,squash
tarragon,sweet potatoes
tarragon,tomatoes
tarragon,turnips
tarragon,rutabagas
thyme,brassicas
thyme,cabbage
thyme,eggplant
thyme,potatoes
thyme,strawberries
thyme,tomatoes
thyme,brussels sprouts
wormwood,brassicas
wormwood,carrots
alyssum,grapes
alyssum,lettuce
bee balm,tomatoes
dianthus,roses
dianthus,lavender
dianthus,echinacea
dianthus,aster
dianthus,foxglove
geraniums,roses
geraniums,corn
geraniums,peppers
geraniums,grapes
larkspur,beans
larkspur,cabbage
lupin,cucurbits
lupin,brassicas
lupin,lettuce
lupin,rosemary
lupin,dill
lupin,strawberries
lupin,roses
marigolds,tomatoes
marigolds,peppers
marigolds,cucurbits
marigolds,cucumbers
marigolds,gourds
marigolds,squash
marigolds,potatoes
marigolds,roses
marigolds,alliums
marigolds,brassicas
marigolds,zucchini
nasturtiums,beans
nasturtiums,squash
nasturtiums,tomatoes
nasturtiums,fruit trees
nasturtiums,brassicas
nasturtiums,radishes
nasturtiums,cucumbers
pansy,alliums
pansy,onions
pansy,roses
petunias,cucurbits
petunias,squash
petunias,pumpkins
petunias,cucumbers
petunias,asparagus
phacelia,lettuce
phacelia,tomatoes
phacelia,roses
sunflowers,peppers
sunflowers,corn
sunflowers,cucumbers
sunflowers,soybeans
sunflowers,tomatoes
sunflowers,swan plant
swan plant,sunflowers
sweet pea,alyssum
sweet pea,lobelia
sweet pea,roses
sweet pea,lavender
sweet pea,catmint
tansy,beans
tansy,brassicas
tansy,cucurbits
tansy,cucumbers
tansy,squash
tansy,raspberries
tansy,roses
tansy,corn
tansy,fruit trees
zinnia,beans
zinnia,tomatoes
zinnia,peppers
alliums,nightshades (tomatoes
alliums,capsicum peppers
alliums,potatoes)
"beans, bush",cucumber
"beans, bush",soybeans
beets,bush beans
brassicas,cereals (e.g. corn
brassicas,wheat)
celery,bush beans
corn / maize,beans
corn / maize,cucurbits
corn / maize,soybeans
corn / maize,tomatoes
cucumber,beans
cucumber,kohlrabi
cucumber,lettuce
eggplant or aubergine,beans
eggplant or aubergine,peppers
eggplant or aubergine,tomatoes
eggplant or aubergine,passion fruit
kohlrabi,onion
kohlrabi,aromatic plants
leek,carrots
leek,celery
leek,onions
leek,tomato
leek,passion fruit
okra,sweet potato
onion,beets
onion,beans
onion,brassicas
onion,cabbage
onion,broccoli
onion,carrots
onion,lettuce
onion,cucumbers
onion,peppers
onion,passion fruit
onion,strawberries. green onions with chinese cabbage.
peas,turnip
potato,brassicas
potato,beans
potato,corn
potato,peas
potato,passion fruit
pumpkin,corn
pumpkin,beans
radish,squash eggplant
radish,cucumbers
radish,lettuce
radish,peas
radish,beans
radish,pole beans
sweet potato,okra
tomatoes,brassicas
tomatoes,broccoli
tomatoes,cabbage
turnips and rutabagas,peas
turnips and rutabagas,broccoli
tomatoes,alliums
mints,alliums
dill,asparagus
coriander,asparagus
comfrey,asparagus
marigolds,asparagus
nasturtiums,asparagus
grains,"beans, bush"
corn,"beans, pole"
strawberries,"beans, fava"
celery,"beans, fava"
catnip,beets
mints,beets
spurrey,brassicas
rye-grass,brassicas
geraniums,brassicas
borage,brassicas
beans,brassicas
clover,brassicas
rabe,broccoli
clover,broccoli
clover,brussels sprouts
beans,cabbage
clover,cabbage
calendula,cabbage
nasturtiums,cabbage
marigolds,cabbage
mints,cabbage
shallots,carrots
beans,carrots
marigolds,cauliflower
rapeseed,cauliflower
sunflowers,cauliflower
cosmos,celery
daisies,celery
snapdragons,celery
beans,corn
peas,corn
peanuts,corn
clover,corn
amaranth,corn
pigweed,corn
sunflowers,maize
dill,maize
legumes,maize
beans,maize
peas,maize
peanuts,maize
cucurbits,maize
clover,maize
amaranth,maize
pigweed,maize
potatoes,maize
peas,cucumbers
beans,cucumbers
beets,cucumbers
carrots,cucumbers
amaranth,cucumbers
marigolds,eggplant
mints,eggplant
clover,leeks
beets,legumes
cucumbers,legumes
borage,legumes
cabbage,legumes
carrots,legumes
cauliflower,legumes
corn,legumes
larkspur,legumes
lovage,legumes
marigolds,legumes
mustard,legumes
radishes,legumes
potatoes,legumes
peppermint,legumes
rosemary,legumes
lettuce,legumes
onions,legumes
squash,legumes
kohlrabi,lettuce
beans,lettuce
thyme,lettuce
nasturtiums,lettuce
carrots,nightshades
mints,nightshades
basil,nightshades
oregano,nightshades
beans,okra
marigolds,onions
mints,onions
tomatoes,onions
mints,peas
beans,peppers
marjoram,peppers
petunias,peppers
horseradish,potatoes
beans,potatoes
peas,potatoes
onions,potatoes
clover,potatoes
buckwheat,pumpkins
catnip,pumpkins
tansy,pumpkins
radishes,pumpkins
nasturtiums,pumpkins
peas,spinach
beans,spinach
beans,squash
buckwheat,squash
catnip,squash
beans,tomatoes
celery,tomatoes
geraniums,tomatoes
petunias,tomatoes
dill,tomatoes
mustard,tomatoes
fenugreek,tomatoes
barley,tomatoes
mints,tomatoes
cucumbers,tomatoes
squash,tomatoes
peas,rutabagas
clover,apples
garlic,apples
leeks,apples
nasturtiums,apples
southernwood,apples
daffodils,apples
comfrey,apples
strawberries,blueberries
clover,blueberries
dewberries,blueberries
yarrow,blueberries
marigolds,fruit trees
marjoram,fruit trees
delions,fruit trees
beans,grapes
clover,grapes
peas,grapes
blackberries,grapes
chamomile,melons
pigweed,melons
anise,basil
carrots,chives
beans,cilantro
peas,cilantro
beans,coriander
peas,coriander
tarragon,garlic
apples,parsley
roses,parsley
roses,lupin
roses,marigolds
roses,pansy
basil,swan plant
brassicas,sweet pea
spinach,sweet pea
silverbeet,sweet pea
salads,sweet pea
"beans, bush",beets
pac choi,broccoli
barley,brussels sprouts
lacy phacelia,cabbage
green onions,cabbage
chinese cabbage,cabbage
chinese cabbage,cauliflower
"beans, bush",celery
white geranium,corn
lamb's quarters,corn
morning glory,corn
field mustard,corn
sudan grass,corn
white geranium,maize
lamb's quarters,maize
morning glory,maize
field mustard,maize
sudan grass,maize
malabar spinach,cucumbers
sorghum,cucurbits
pigweed,eggplant
green beans,eggplant
summer savory,legumes
lacy phacelia,legumes
crimson clover,peppers
field mustard,peppers
dead nettle,potatoes
jimson weed,pumpkins
snap beans,soybeans
hairy vetch,turnips
hairy vetch,rutabagas
oak trees,blueberries
pine trees,blueberries
bay laurel,blueberries
lemon balm,fruit trees
sow thistle,melons
summer savory,lupin
carrots and african spider plants (cleome gynandra) together,alliums
marigolds (tagetes spp.),alliums
aster family flowers,asparagus
nasturtiumscitation needed,asparagus
bush beans,beets
citation needed garlic,beets
most brassicas,beets
mint,beets
aromatic plants or plants with many blossoms,brassicas
such as celery,brassicas
and marigolds. dill,brassicas
citation needed peppermint,brassicas
citation needed spurrey,brassicas
citation needed rosemary,brassicas
citation needed garlic,brassicas
onions and potatoes. geraniums,brassicas
citation needed tomatoes,brassicas
citation needed thyme,brassicas
clovercitation needed,brassicas
mixture of mustard,broccoli
and rape.citation needed  beets,broccoli
citation needed onions,broccoli
tomato,broccoli
turnip,broccoli
malting barleycitation needed,brussels sprouts
calendula/pot marigold,cabbage
citation needed mint,cabbage
citation needed lacy phacelia,cabbage
citation needed green onions with chinese cabbage.citation needed,cabbage
alliums (chives,carrots
etc.),carrots
mixture of chinese cabbage,cauliflower
and sunflower.citation needed  spinach,cauliflower
citation needed peas,cauliflower
bush beans,celery
sunflowers,corn / maize
dill,corn / maize
legumes (beans,corn / maize
peas,corn / maize
soybeans etc.),corn / maize
peanuts,corn / maize
cucurbits,corn / maize
clover,corn / maize
amaranth,corn / maize
white geranium,corn / maize
pigweed,corn / maize
lamb's quarters,corn / maize
morning glory,corn / maize
parsley,corn / maize
and potato,corn / maize
field mustard,corn / maize
sudan grasscitation needed,corn / maize
kohlrabi,cucumber
nasturtiums,cucumber
radishes,cucumber
marigolds,cucumber
sunflowers,cucumber
peas,cucumber
beans,cucumber
chamomile,cucumber
beets,cucumber
carrots,cucumber
dill,cucumber
onions,cucumber
garlic,cucumber
amaranth (amaranthus cruentus),cucumber
celery,cucumber
malabar spinach,cucumber
marigolds,eggplant or aubergine
catnip,eggplant or aubergine
dill,eggplant or aubergine
citation needed redroot pigweed,eggplant or aubergine
green beans,eggplant or aubergine
tarragon,eggplant or aubergine
mints,eggplant or aubergine
thyme,eggplant or aubergine
carrots clover,leek
mustards,legumes
citation needed squash,legumes
broccoli thyme,lettuce
mints (basil,nightshades
etc.),nightshades
carrots,onion
beets,onion
brassicas,onion
dill,onion
lettuce,onion
strawberries,onion
marigolds,onion
citation needed mints,onion
citation needed tomatoes,onion
summer savory,onion
chamomile,onion
pansy,onion
turnip,peas
citation needed okra,peppers
onions crimson clover,peppers
horseradish,potato
beans,potato
dead nettle,potato
marigolds,potato
peas,potato
onions,potato
garlic,potato
thyme,potato
clover,potato
buckwheat,pumpkin
jimson weed,pumpkin
catnip,pumpkin
oregano,pumpkin
tansy,pumpkin
radishes,pumpkin
nasturtiums,pumpkin
chervil,radish
lettuce,radish
nasturtiums,radish
corn,soybean
snap beans,soybean
citation needed sunflower,soybean
cauliflowercitation needed,spinach
bee balm (monarda),tomatoes
"""flower strips""",tomatoes
hairy vetch,turnips and rutabagas
peas,turnips and rutabagas
