Plant,Help_Rank,Avoid_Rank
radishes,0.004717962296469105,0.014563857881062145
rapeseed,0.001089216206217168,
raspberries,0.00117338912340835,0.006166385977986475
rhubarb,,0.00909090909090909
rosemary,0.001824872401281606,0.003799602031368419
roses,0.009440840687086876,0.004105038302626558
runner or pole beans,,0.004234811977279606
rutabagas,0.0019500144808093807,0.007695201785932133
rye-grass,0.001089216206217168,
sage,0.001403018329234065,0.007806815216599552
salads,0.001089216206217168,
shallots,0.001089216206217168,
silverbeet,0.001089216206217168,
snap beans,0.001089216206217168,
snapdragons,0.001089216206217168,
sorghum,0.001089216206217168,0.004618994626440565
southernwood,0.0011199158110928027,
sow thistle,0.001089216206217168,
soybean,0.005172482535789387,
soybeans,0.011115417267387837,0.004183442444824952
soybeans etc.),0.001089216206217168,
spearmint,0.0011199158110928027,
spinach,0.008895059663927144,
spurrey,0.001089216206217168,
squash,0.004548555071008917,0.006166385977986475
squash eggplant,0.0017401434587167833,
stinging nettle,0.0011199158110928027,
stone fruits,,0.004105038302626558
strawberries,0.004646274382511743,0.04192708716094972
strawberries. green onions with chinese cabbage.,0.0021735607811501343,
such as celery,0.001089216206217168,
sudan grass,0.001089216206217168,
sudan grasscitation needed,0.001089216206217168,
summer savory,0.0011199158110928027,
sunflowers,0.0024826234333375687,0.008900010914924253
swan plant,0.0016390871330685503,
sweet pea,0.008272287347624927,
sweet potato,0.01274138084972028,
sweet potatoes,0.012764047526797459,0.004618994626440565
swiss chard,,0.00909090909090909
tansy,0.001089216206217168,
tarragon,0.0011199158110928027,
thyme,0.001555774100181978,0.005549947240573748
tobacco,,0.0041126049654180395
tomato,0.0014318183568914013,0.006793173966373655
tomatoes,0.050111753930110345,0.0487250142558919
turnip,0.0016187137740312023,
turnips,0.002051277618438702,0.007695201785932133
turnips and rutabagas,0.0019273478037322028,0.007695201785932133
valerian,0.0011949940325773317,
vetch,0.0011985600628595444,
walnut,,0.009715666130397985
wheat,0.004560578409113567,
wheat),0.0045298788042379325,
white geranium,0.001089216206217168,
wormwood,0.0011199158110928027,
yarrow,0.0011199158110928027,
zinnia,0.001089216206217168,
zucchini,0.0012088024764896235,
